Episode: 136/1000, Scores(Time Frames): 147, Total Rewards(adjusted): 3.3e+02, Epsilon: 0.12
Episode: 137/1000, Scores(Time Frames): 236, Total Rewards(adjusted): 5.3e+02, Epsilon: 0.12
Episode: 138/1000, Scores(Time Frames): 161, Total Rewards(adjusted): 5.8e+02, Epsilon: 0.12
Episode: 139/1000, Scores(Time Frames): 250, Total Rewards(adjusted): 6.8e+02, Epsilon: 0.11
Episode: 140/1000, Scores(Time Frames): 207, Total Rewards(adjusted): 3.7e+02, Epsilon: 0.11
Episode: 141/1000, Scores(Time Frames): 141, Total Rewards(adjusted): 3.7e+02, Epsilon: 0.11
Episode: 142/1000, Scores(Time Frames): 218, Total Rewards(adjusted): 7e+02, Epsilon: 0.11
Episode: 143/1000, Scores(Time Frames): 167, Total Rewards(adjusted): 5.1e+02, Epsilon: 0.1
Episode: 144/1000, Scores(Time Frames): 280, Total Rewards(adjusted): 1.1e+03, Epsilon: 0.1
Episode: 145/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4e+02, Epsilon: 0.1
Episode: 146/1000, Scores(Time Frames): 186, Total Rewards(adjusted): 4.7e+02, Epsilon: 0.1
Episode: 147/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.8e+02, Epsilon: 0.1
Episode: 148/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.2e+02, Epsilon: 0.1
Episode: 149/1000, Scores(Time Frames): 127, Total Rewards(adjusted): 4e+02, Epsilon: 0.1
Episode: 150/1000, Scores(Time Frames): 318, Total Rewards(adjusted): 1.1e+03, Epsilon: 0.1
Episode: 151/1000, Scores(Time Frames): 135, Total Rewards(adjusted): 4.3e+02, Epsilon: 0.1
Episode: 152/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.3e+01, Epsilon: 0.1
Episode: 153/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.7e+02, Epsilon: 0.1
Episode: 154/1000, Scores(Time Frames): 135, Total Rewards(adjusted): 3.3e+02, Epsilon: 0.1
Episode: 155/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.8e+02, Epsilon: 0.1
Episode: 156/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 7.6e+01, Epsilon: 0.1
Episode: 157/1000, Scores(Time Frames): 200, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.1
Episode: 158/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.3e+02, Epsilon: 0.1
Episode: 159/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4e+01, Epsilon: 0.1
Episode: 160/1000, Scores(Time Frames): 132, Total Rewards(adjusted): 4.1e+02, Epsilon: 0.1
Episode: 161/1000, Scores(Time Frames): 126, Total Rewards(adjusted): 1.1e+02, Epsilon: 0.1
Episode: 162/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.4e+02, Epsilon: 0.1
Episode: 163/1000, Scores(Time Frames): 246, Total Rewards(adjusted): 1.2e+03, Epsilon: 0.1
Episode: 164/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.1e+02, Epsilon: 0.1
Episode: 165/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.8e+02, Epsilon: 0.1
Episode: 166/1000, Scores(Time Frames): 239, Total Rewards(adjusted): 5.6e+02, Epsilon: 0.1
Episode: 167/1000, Scores(Time Frames): 172, Total Rewards(adjusted): 4.6e+02, Epsilon: 0.1
Episode: 168/1000, Scores(Time Frames): 170, Total Rewards(adjusted): 5.1e+02, Epsilon: 0.1
Episode: 169/1000, Scores(Time Frames): 130, Total Rewards(adjusted): 4.1e+02, Epsilon: 0.1
Episode: 170/1000, Scores(Time Frames): 187, Total Rewards(adjusted): 5.2e+02, Epsilon: 0.1
Episode: 171/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6.3e+01, Epsilon: 0.1
Episode: 172/1000, Scores(Time Frames): 132, Total Rewards(adjusted): 4.3e+02, Epsilon: 0.1
Episode: 173/1000, Scores(Time Frames): 168, Total Rewards(adjusted): 5e+02, Epsilon: 0.1
Episode: 174/1000, Scores(Time Frames): 147, Total Rewards(adjusted): 4.2e+02, Epsilon: 0.1
Episode: 175/1000, Scores(Time Frames): 206, Total Rewards(adjusted): 4.2e+02, Epsilon: 0.1
Episode: 176/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.8e+02, Epsilon: 0.1
Episode: 177/1000, Scores(Time Frames): 266, Total Rewards(adjusted): 1e+03, Epsilon: 0.1
Episode: 178/1000, Scores(Time Frames): 167, Total Rewards(adjusted): 6.4e+02, Epsilon: 0.1
Episode: 179/1000, Scores(Time Frames): 234, Total Rewards(adjusted): 5.4e+02, Epsilon: 0.1
Episode: 180/1000, Scores(Time Frames): 166, Total Rewards(adjusted): 4.4e+02, Epsilon: 0.1
Episode: 181/1000, Scores(Time Frames): 157, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.1
Episode: 182/1000, Scores(Time Frames): 231, Total Rewards(adjusted): 7.7e+02, Epsilon: 0.1
Episode: 183/1000, Scores(Time Frames): 129, Total Rewards(adjusted): 1.6e+02, Epsilon: 0.1
Episode: 184/1000, Scores(Time Frames): 296, Total Rewards(adjusted): 1e+03, Epsilon: 0.1
Episode: 185/1000, Scores(Time Frames): 238, Total Rewards(adjusted): 8.9e+02, Epsilon: 0.1
Episode: 186/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.6e+02, Epsilon: 0.1
Episode: 187/1000, Scores(Time Frames): 130, Total Rewards(adjusted): 4.7e+02, Epsilon: 0.1
Episode: 188/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.6e+02, Epsilon: 0.1
Episode: 189/1000, Scores(Time Frames): 155, Total Rewards(adjusted): 3.6e+02, Epsilon: 0.1
Episode: 190/1000, Scores(Time Frames): 186, Total Rewards(adjusted): 3.1e+02, Epsilon: 0.1
Episode: 191/1000, Scores(Time Frames): 194, Total Rewards(adjusted): 3.9e+02, Epsilon: 0.1
Episode: 192/1000, Scores(Time Frames): 127, Total Rewards(adjusted): 5e+02, Epsilon: 0.1
Episode: 193/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4e+02, Epsilon: 0.1
Episode: 194/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.1
Episode: 195/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.1
Episode: 196/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.8e+02, Epsilon: 0.1
Episode: 197/1000, Scores(Time Frames): 174, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.1
Episode: 198/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.8e+02, Epsilon: 0.1
Episode: 199/1000, Scores(Time Frames): 157, Total Rewards(adjusted): 5.9e+02, Epsilon: 0.1
Episode: 200/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.5e+02, Epsilon: 0.1
