Episode: 190/1000, Scores(Time Frames): 340, Total Rewards(adjusted): 2.1e+02, Epsilon: 0.25
Episode: 191/1000, Scores(Time Frames): 255, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.24
Episode: 192/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 4.4e+02, Epsilon: 0.24
Episode: 193/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.3e+01, Epsilon: 0.23
Episode: 194/1000, Scores(Time Frames): 477, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.23
Episode: 195/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6.2e+01, Epsilon: 0.23
Episode: 196/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 2.1e+02, Epsilon: 0.22
Episode: 197/1000, Scores(Time Frames): 312, Total Rewards(adjusted): 2.5e+02, Epsilon: 0.22
Episode: 198/1000, Scores(Time Frames): 149, Total Rewards(adjusted): 7.4e+01, Epsilon: 0.22
Episode: 199/1000, Scores(Time Frames): 170, Total Rewards(adjusted): 9.6e+01, Epsilon: 0.22
Episode: 200/1000, Scores(Time Frames): 142, Total Rewards(adjusted): 7.3e+01, Epsilon: 0.21
Episode: 201/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.5e+01, Epsilon: 0.21
Episode: 202/1000, Scores(Time Frames): 303, Total Rewards(adjusted): 1.9e+02, Epsilon: 0.21
Episode: 203/1000, Scores(Time Frames): 463, Total Rewards(adjusted): 2.4e+02, Epsilon: 0.2
Episode: 204/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 2.5e+02, Epsilon: 0.2
Episode: 205/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6e+01, Epsilon: 0.2
Episode: 206/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 4.3e+02, Epsilon: 0.19
Episode: 207/1000, Scores(Time Frames): 156, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.19
Episode: 208/1000, Scores(Time Frames): 409, Total Rewards(adjusted): 1.9e+02, Epsilon: 0.19
Episode: 209/1000, Scores(Time Frames): 209, Total Rewards(adjusted): 6.7e+01, Epsilon: 0.19
